Dataid,Term,Class,Description,DataType,JSON
1,Arm length left,Anthropometry,"The distance is measured from the top of the left acromion point, then along the elbow landmark to the left wrist landmark.",Numeric type,"{""name"": ""Arm length left"", ""class"": ""Anthropometry"", ""description"": ""The distance is measured from the top of the left acromion point, then along the elbow landmark to the left wrist landmark.""}"
2,Belly circumference,Anthropometry,"The belly circumference is placed horizontally around the torso in the region of the belly. The location is a pure statistically estimation on the torso.
The circumference is measured parallel to the standing surface. (This measurement is commonly used for men only)",Numeric type,"{""name"": ""Belly circumference"", ""class"": ""Anthropometry"", ""description"": ""The belly circumference is placed horizontally around the torso in the region of the belly. The location is a pure statistically estimation on the torso.\nThe circumference is measured parallel to the standing surface. (This measurement is commonly used for men only)""}"
3,Body temperature - Ear,Eligibility Check,Body temperature,Numeric type,"{""name"": ""Body temperature - Ear"", ""class"": ""Eligibility Check"", ""description"": ""Body temperature""}"
