Dataid,Term,Class,Description,DataType,ID,Detection item,JSON_new
1,Arm length left,Anthropometry,"The distance is measured from the top of the left acromion point, then along the elbow landmark to the left wrist landmark.",Numeric type,PDE001000014.1,3D human body scanning and analysis system,"{""name"": ""Arm length left"", ""class"": ""Anthropometry"", ""data_type"": ""Numeric type"", ""description"": ""The distance is measured from the top of the left acromion point, then along the elbow landmark to the left wrist landmark."", ""feature_class"": ""In vivo measurement"", ""feature"": ""Arm length"", ""Q_human_anatomical_parts"": ""Arm"", ""Q_orientation_and_relative_positions"": ""Left"", ""Q_measurement_tools"": ""Anthroscan Bodyscan"", ""Q_measurement_units"": ""cm""}"
2,Belly circumference,Anthropometry,"The belly circumference is placed horizontally around the torso in the region of the belly. The location is a pure statistically estimation on the torso.
The circumference is measured parallel to the standing surface. (This measurement is commonly used for men only)",Numeric type,PDE001000020.1,3D human body scanning and analysis system,"{""name"": ""Belly circumference"", ""class"": ""Anthropometry"", ""data_type"": ""Numeric type"", ""description"": ""The belly circumference is placed horizontally around the torso in the region of the belly. The location is a pure statistically estimation on the torso.\nThe circumference is measured parallel to the standing surface. (This measurement is commonly used for men only)"", ""feature_class"": ""In vivo measurement"", ""feature"": ""Abdominal circumference"", ""Q_human_anatomical_parts"": ""Abdomen"", ""Q_measurement_tools"": ""Anthroscan Bodyscan"", ""Q_measurement_units"": ""cm""}"
3,Body temperature - Ear,Eligibility Check,Body temperature,Numeric type,PDE017002510.1,Body temperature - Ear,"{""name"": ""Body temperature - Ear"", ""class"": ""Eligibility Check"", ""data_type"": ""Numeric type"", ""description"": ""Body temperature"", ""feature_class"": ""In vivo measurement"", ""feature"": ""Body temperature"", ""Q_measurement_tools"": ""Braun Ear Thermometer IRT-6520"", ""Q_measurement_units"": ""℃""}"
